Vardas                 Pavarde            ND1            ND2            ND3            ND4            ND5      Egzaminas
Agatsa           Aritmetikaite              3              5              3              5              5              9
Aslanas            Aritmetikas              9             10             10              1              8              7
Slimonas              Bitaitis              9              1             10              2              5              6
Slimonas          Informatikas              3              8              6              5              1              9
Vistorija      Sesioliktaityte              3              7              7              3              8              1
Dovysdas           Indeksaitis              8              1              1              7              5              8
Laurisa                Baituke             10             10              6              1              2             10
Gabrisele              Bitaite              7              9              1              5              7              3
Dovysdas              Bitaitis              9              6              5             10              4              2
Laurisa           Dvejetaityte              2              2              6              5             10              4
Dovysdas              Bitaitis              9             10              4              3              6              9
Laurisa           Astuntainyte              7             10              8              3              8              4
Laurisa                Bitaite              4              7              5              3              1              5
Slimonas               Bugovas              4              9              5              6              3              8
Mastas             Astuntaitis              6              4              4              9              9              6
Slimonas              Bitaitis              1             10              4              6              2              6
Slimonas              Baitenis              3              5              3              7              9             10
Gabrisele      Sesioliktaityte              7              6              2              5              6              1
Aslanas               Bitaitis              5              1              9              5              8              3
Sinsija           Informaityte              5              8              3              7              6              7
Luskas                Grafikis              4              3              1              5              5              6
Gabrisele           Indeksaite              9              6              4              8              9              3
Vistorija            Grafikyte              7              4             10              2              9              9
Laurisa           Informaityte              3              3             10              7              1              7
Laurisa                Bitaite              5              4              9              5              3             10
Slimonas        Sesioliktaitis              9              2              1              5              5              6
Slimonas               Bugovas              1              5              8              3              9             10
Mastas                Baitenis              8              1              3              8             10              4
Dovysdas              Bitaitis              7              3              1              2              4              6
Gabrisele         Dvejetaityte              7              6              1              4              9              6
Gabrisele         Dvejetaityte              7              2              9              8              3              5
Luskas                Grafikis              9              7              6              8              5              1
Mastas          Sesioliktaitis              9             10              8              9              5              8
Luskas                Grafikis              3              8              2              5              2              3
Sinsija           Informaityte              3              6             10             10              9              7
Vistorija         Astuntainyte              8              3              4              4              3              1
Slimonas              Bitaitis              7              1              8              4             10              5
Mastas          Sesioliktaitis              8              1              8              3             10              5
Slimonas           Indeksaitis              1              2              5              8              2              3
Sinsija                Bitaite              4              9              7             10              8              5
Laurisa           Astuntainyte              5              7              8              3              8              4
Mastas                Grafikis              8              4              3              9              5              2
Agatsa           Aritmetikaite              3              3              5              5              6              2
Gabrisele         Dvejetaityte              4              7              8              6              4              5
Aslanas           Informatikas              9              2              7              7              9              5
Luskas                Baitenis              8              2              7              6              4              5
Vistorija         Informaityte              4              8              5              9              2              4
Slimonas           Aritmetikas              2              9              4              4              4              5
Slimonas           Aritmetikas              9              7              2              5              4              2
Vistorija      Sesioliktaityte              7             10              8              2              8              8
Agatsa               Grafikyte              5              4              4              7              4              7
Luskas                 Bugovas              8              1              2              8              2              8
Laurisa        Sesioliktaityte             10              8              9              2              5              1
Slimonas              Baitenis              3              8              1              1              7              4
Mastas          Sesioliktaitis              4              5              5              5              1              6
Slimonas          Informatikas              4              6              8             10              4              6
Sinsija              Grafikyte              4              5              3              2              1              1
Sinsija              Bugovaite              8              2              7              1              5             10
Gabrisele            Grafikyte              3              2              5              2             10              7
Gabrisele           Indeksaite              7              4              1              5              8              8
Laurisa        Sesioliktaityte              5              2              9              4              3              1
Dovysdas           Indeksaitis              5              4              6             10              3              8
Gabrisele              Baituke              1              7             10              1              4              1
Laurisa           Astuntainyte              1              9              5              7              6              8
Agatsa               Bugovaite              7              8             10              1              2              6
Laurisa        Sesioliktaityte              7              9             10              8              2              1
Sinsija              Grafikyte              1              4              6              1              7              8
Aslanas                Bugovas              6              7              4              2              6              2
Aslanas               Grafikis              3              3              3             10              3              3
Gabrisele            Grafikyte              6             10              7              1              8              5
Mastas                 Bugovas             10              4              4              1              5              9
Slimonas        Sesioliktaitis              6              4              4              6              1              9
Aslanas         Sesioliktaitis              4              2              8             10              4              5
Aslanas            Aritmetikas              9              2              7              8              1              8
Vistorija         Informaityte             10              6              6              4             10             10
Gabrisele              Baituke             10             10              2              3              3              2
Luskas          Sesioliktaitis              7              6              8              9              8             10
Agatsa                 Baituke              2              4             10              7              4              7
Aslanas               Bitaitis              8              8              3              1              8              6
Dovysdas          Informatikas              8              2              2              8              4              6
Slimonas           Aritmetikas             10              1              1              7              8              5
Aslanas            Indeksaitis              4              2              2              5              3             10
Agatsa                 Bitaite              7              2              6              4              3              6
Laurisa        Sesioliktaityte              6              8              3              8              5              1
Luskas          Sesioliktaitis              2              1              2              9              4              8
Slimonas        Sesioliktaitis             10              9              1              7              3              3
Sinsija           Dvejetaityte              9              3              4              9              8              9
Gabrisele            Grafikyte              1              6              1              8             10              9
Slimonas               Bugovas             10             10              5              6             10              6
Luskas                Grafikis              8              4              5              5              8              1
Dovysdas           Aritmetikas              4              5              8              1              2             10
Agatsa           Aritmetikaite              3              5             10              6              5              5
Laurisa           Dvejetaityte              1              7              1              5             10              1
Sinsija             Indeksaite              5             10             10              3              4              7
Agatsa               Bugovaite              9              6              1              3              9              7
Luskas                Bitaitis              1              3              9              5              7              9
Dovysdas              Grafikis              5             10              2              8              6              2
Mastas                Grafikis              5              5              7              7              6              4
Mastas          Sesioliktaitis              6              8              1              9              5              2
Luskas             Dvejetaitis              2              9              3              6              6              9
Sinsija        Sesioliktaityte              9              4              3             10             10              4
Slimonas           Dvejetaitis              2              3              5              8              5              9
Agatsa            Informaityte              4              1              4              7              3              4
Luskas             Dvejetaitis              5             10              2              1              7              3
Laurisa        Sesioliktaityte              7              5              2              7              9              3
Slimonas           Indeksaitis             10              5              7              9              4              7
Gabrisele              Baituke              7              5              8              1              8              6
Sinsija           Astuntainyte              6              7              6              6              6             10
Dovysdas          Informatikas              1              7              8              3             10              6
Dovysdas          Informatikas             10              2              3              8              9              3
Slimonas              Bitaitis              1              5              9              4              8              6
Agatsa                 Bitaite              9              2              9              7              8              6
Aslanas           Informatikas              6              4              8              4              3              2
Laurisa          Aritmetikaite              9              8              2              6              5              5
Slimonas           Dvejetaitis              6              9              2              7             10              6
Vistorija      Sesioliktaityte              1              7              1              5              4              9
Agatsa               Bugovaite              3              9              8              4              9              3
Dovysdas           Aritmetikas              5              7              4              8             10              5
Gabrisele            Bugovaite              2              8             10              8              5              2
Vistorija           Indeksaite              1              9              8              9              8              5
Mastas                Bitaitis              1              1              5              6              8             10
Vistorija        Aritmetikaite              6              3              9              7              3              1
Mastas                 Bugovas             10              6              3             10              3              4
Vistorija              Bitaite              8              5              1              4              5              8
Vistorija           Indeksaite              6              2              8              2              7              6
Mastas            Informatikas              4              9              9              9              8              5
Gabrisele           Indeksaite              9              9             10              6              6              3
Sinsija           Informaityte             10              6              9             10              4              2
Laurisa              Grafikyte             10              4              8              6              8             10
Agatsa                 Bitaite              4              4             10             10              8              2
Agatsa            Astuntainyte              9              8              3             10              1              2
Dovysdas              Grafikis              4              5              5              5              8              7
Gabrisele         Informaityte              8              8              7              8              4             10
Agatsa            Informaityte              5              7             10              4             10              1
Aslanas                Bugovas              3              3              8              3              7              6
Agatsa                 Bitaite              5              3              8              4              7              2
Laurisa          Aritmetikaite              3              4              3              8              5              7
Vistorija         Astuntainyte              1              4              7              6              2              9
Gabrisele        Aritmetikaite              8              9              5             10              5              6
Gabrisele            Grafikyte             10             10              5              2              8              8
Agatsa            Dvejetaityte              4              2              3              1              5              5
Mastas            Informatikas              1              6              1              8              1              1
Vistorija        Aritmetikaite              2              4              3             10              3              2
Gabrisele        Aritmetikaite              8              9              8              8              2              2
Agatsa                 Bitaite              1              7              2             10              1              5
Gabrisele      Sesioliktaityte              9              1              5              6              5              6
Gabrisele         Informaityte              3              1              2              4              1              1
Dovysdas              Bitaitis              1              5             10              8              8              4
Aslanas               Grafikis              5              7             10             10              4              4
Slimonas           Indeksaitis              2              6              8              2              3              7
Gabrisele           Indeksaite              7              5              8              9              4              9
Mastas             Astuntaitis              3              9              2              9              1              2
Agatsa                 Bitaite              9              3              9              4              3              5
Aslanas           Informatikas              8              3              9              8              2              1
Laurisa              Grafikyte              2              1              3              2              6              7
Agatsa           Aritmetikaite              3              7              6              5              8              2
Aslanas            Indeksaitis              3              6              3              7              1              8
Gabrisele              Bitaite              6              6              5              9              2              7
Luskas             Aritmetikas              9              9              7              6              2              1
Mastas          Sesioliktaitis              9              1             10              4              5              9
Vistorija         Dvejetaityte              2              7              8              4              7              8
Mastas          Sesioliktaitis              3              3              7              2              1              7
Mastas                Bitaitis              2              6              6              1              9              4
Mastas                Grafikis              1              7              7              1              5              9
Laurisa          Aritmetikaite              2              1              4              2              9              1
Dovysdas              Baitenis              5              8              9             10              8              5
Mastas             Dvejetaitis              6              2              7              8             10              9
Vistorija            Grafikyte              5              7              1              8              6              1
Mastas             Astuntaitis             10              2              3              3              3              9
Gabrisele           Indeksaite              6              1              7              7              4              4
Dovysdas           Astuntaitis              6              8              5              2              4              9
Slimonas              Baitenis              7              2              2              4              5              2
Dovysdas           Aritmetikas              6              1              5              3              5              5
Mastas             Indeksaitis             10              7              8              2              1              8
Sinsija           Astuntainyte              5              9              1              8              5              4
Luskas                 Bugovas              3              1              6              4              9              5
Mastas                 Bugovas              5             10              7              4              3              4
Gabrisele              Baituke             10              9              8              6              9              7
Agatsa                 Bitaite              9             10              3              2              5              1
Mastas             Dvejetaitis              6              8              2              6              2              4
Laurisa              Grafikyte             10             10              8              7              5              8
Aslanas               Baitenis              4              6              5              8              1              3
Agatsa            Astuntainyte              1              4             10              5              2              6
Slimonas           Aritmetikas              8              6              3              5              2              1
Luskas          Sesioliktaitis              2              3              7              2              4             10
Mastas                Bitaitis              3              3              6              6              2              1
Agatsa                 Baituke              9              5              7              1              8              9
Sinsija          Aritmetikaite              2             10              3              9              6             10
Aslanas                Bugovas              5              9              3              3              7              1
Luskas             Dvejetaitis              4              2              4              8              6              3
Vistorija           Indeksaite              4              1              6              8              8              9
Mastas          Sesioliktaitis              3              4              1              4              6             10
Vistorija              Bitaite              6             10              4             10              7              1
Luskas             Aritmetikas              2              4              7              6             10              1
Aslanas               Bitaitis              8              6             10              7              8              1
Dovysdas           Aritmetikas              7              2             10              9              5              7
Aslanas            Astuntaitis              1              9             10              7              7              7
Mastas          Sesioliktaitis              1              1             10              6              6              9
Sinsija           Dvejetaityte              1              8              1              8              5              1
Dovysdas           Indeksaitis              1              3              3              5              9              1
Dovysdas          Informatikas              3              4              5              4              5              7
Gabrisele              Bitaite              9              2             10              4              3              9
Agatsa            Dvejetaityte              7              5              6             10              5             10
Aslanas                Bugovas              7              1              9              1             10             10
Luskas             Aritmetikas              1              1              5              9              9              3
Vistorija              Baituke              3              4              7              6              1              9
Sinsija        Sesioliktaityte             10              5              2              8              6              6
Agatsa               Bugovaite              8              1              7             10              1              6
Dovysdas              Grafikis              7              8              9              9              3              2
Sinsija           Dvejetaityte              9             10              5              3              2              3
Aslanas            Dvejetaitis              5             10              2              5              3              7
Aslanas           Informatikas              1              2              4              3              8             10
Sinsija           Informaityte              6             10              1              4             10              9
Gabrisele      Sesioliktaityte              1              5              8              3              3              5
Sinsija             Indeksaite              5              4              5              5              2              1
Aslanas               Grafikis              1              3              3              8              1              3
Luskas          Sesioliktaitis              3              3              5              6              8              8
Dovysdas              Grafikis              7             10              1              2              9              8
Agatsa            Dvejetaityte              2              7              1             10              1              7
Dovysdas              Bitaitis              6              2              4              6              1              7
Vistorija      Sesioliktaityte              6              6              6             10              8              9
Luskas                Bitaitis              6              4              9              9              7              3
Vistorija            Grafikyte              4              5              8              1              2              7
Gabrisele        Aritmetikaite              8              4              6              3              9              3
Luskas             Aritmetikas              9              7              9              5              8              2
Aslanas            Aritmetikas              8              4              7              7              3              3
Agatsa                 Bitaite              4              6              6              8              9              2
Slimonas           Aritmetikas              4              6              5              2              2              6
Agatsa               Grafikyte              5              1              1              2              3              9
Gabrisele              Bitaite              8              3             10              4              7             10
Laurisa              Grafikyte              1              8              2             10              8              2
Luskas          Sesioliktaitis              6              8             10              5              8              6
Laurisa                Bitaite             10              3              4              6              6              4
Gabrisele         Astuntainyte              2              2              2              8              8              7
Agatsa            Informaityte              1              2              1              2              2              9
Vistorija        Aritmetikaite              7              4              9              5              8              3
Vistorija         Astuntainyte              5             10              2              8              9              1
Laurisa             Indeksaite              2              6              8             10              8              5
Aslanas               Grafikis              3              2              4              5              5              2
Vistorija            Bugovaite              2              3              5              1              1              2
Slimonas           Dvejetaitis              5              2              7              5              6              5
Sinsija        Sesioliktaityte              6              7              2             10              2              2
Vistorija           Indeksaite              5              2              9              3              8              3
Dovysdas           Astuntaitis              7              7              9              7              5              5
Dovysdas              Bitaitis              7             10              5              2              9             10
Laurisa             Indeksaite              1              5              5              1              9              6
Dovysdas        Sesioliktaitis              5              9              1              8              6              9
Sinsija          Aritmetikaite              2              9              1              3              3             10
Laurisa        Sesioliktaityte              3              2              4              3              4              9
Agatsa               Bugovaite              6             10              4             10              3              2
Dovysdas              Grafikis              9              5              3              8              5              2
Dovysdas           Aritmetikas              1              7              5             10              6              8
Laurisa                Baituke              2              1              9              1              7              2
Gabrisele              Baituke              3              2              1              5              7              6
Sinsija                Bitaite              3              8              7              2             10              3
Agatsa            Dvejetaityte              7              4              3              6              7             10
Vistorija            Bugovaite              8              4              1              2              5              8
Slimonas        Sesioliktaitis              8             10              1              8              5              6
Vistorija            Bugovaite              4             10              9              3              5              5
Laurisa           Informaityte              1              8             10              1              9              8
Dovysdas               Bugovas              5              5              5              9              8              4
Laurisa                Bitaite              4              6             10              8              7              1
Sinsija           Dvejetaityte              3              4              9              6              2              1
Aslanas            Aritmetikas              7             10              4             10              7              6
Luskas             Dvejetaitis              7             10              9              3              7              6
Dovysdas           Astuntaitis              5              8              4              7              4              3
Slimonas           Indeksaitis              6             10              5              3              4              4
Luskas                Grafikis              3              5              8             10             10              7
Sinsija        Sesioliktaityte              4              4              4              8              9              3
Vistorija         Dvejetaityte              7              1              2              6              2              1
Slimonas           Astuntaitis              1             10             10              6              5              9
Agatsa            Astuntainyte              1              2              1              3              4              6
Aslanas                Bugovas              4              1              8              8             10              5
Slimonas              Baitenis              7              2              5              7              5              2
Aslanas         Sesioliktaitis              2              8              6              9              4              1
Gabrisele              Bitaite              8              1              7              1              1              9
Gabrisele              Bitaite              3              7              8              5              9              3
Agatsa               Grafikyte              6              3              7             10              4              9
Sinsija           Informaityte              8              7              4              1              3              4
Gabrisele         Dvejetaityte              8              3              9              9             10              2
Laurisa           Informaityte              1              8              6              8             10              5
Agatsa            Astuntainyte              7              6              3              5              4              1
Gabrisele        Aritmetikaite             10              9              6              6              5              6
Mastas             Dvejetaitis              9              4              8             10              3              1
Luskas                 Bugovas              5              7              7              3              2              5
Laurisa                Bitaite              5             10              9              6              6              8
Gabrisele         Informaityte              2             10              6              7              2              1
Sinsija              Bugovaite              9              3              4              3              5              8
Aslanas           Informatikas              2              8              5             10              4              2
Vistorija         Astuntainyte             10              6              5              4              4              2
Agatsa            Astuntainyte              1              1              6              9             10              3
Dovysdas              Grafikis              3              5              9              2              4              5
Vistorija         Dvejetaityte              1              8              6              3              3              3
Aslanas                Bugovas              6              2              7              9              5              1
Dovysdas        Sesioliktaitis              4              2              4             10              4              3
Luskas             Dvejetaitis              9              4              3             10              8              5
Luskas                Grafikis              8              8              6              5              1             10
Aslanas            Aritmetikas              6              9             10              8              2              6
Agatsa                 Baituke              6              7              7              2              1              8
Dovysdas           Indeksaitis              7              4             10             10              1              2
Laurisa           Astuntainyte              9              4              5              3              1              4
Laurisa           Astuntainyte              8              2              1              3              1              9
Gabrisele      Sesioliktaityte              1              2              9             10              7              1
Dovysdas           Dvejetaitis              6              5              9              8              5             10
Vistorija         Dvejetaityte              3              8              5              7              6              2
Mastas             Astuntaitis              3              5              4             10             10              1
Aslanas               Grafikis              7              8              5              9              6              2
Slimonas              Bitaitis              3              5              1              6              4              5
Sinsija           Informaityte              2              2              5              3              1             10
Laurisa           Informaityte              7             10              1              1              9              9
Aslanas           Informatikas              6              6              8              9              6              1
Laurisa              Grafikyte             10              9              1              8              2              9
Gabrisele              Bitaite              8              1              6              3              7              8
Aslanas               Bitaitis              3              1              2             10             10              3
Dovysdas           Aritmetikas              8              2              2              7              3              2
Dovysdas              Grafikis              9              4              6              4              5              7
Slimonas              Bitaitis              5              8              7              4              1              5
Vistorija              Baituke              4              5              6              9              8              2
Gabrisele        Aritmetikaite              8              5              8              2              7              8
Sinsija           Astuntainyte              1              8              8              2              5              5
Dovysdas              Baitenis              9              6              3              2              7              6
Luskas                Grafikis              7              2              9              4              8              4
Luskas             Dvejetaitis              3              6              7              9              2              3
Mastas          Sesioliktaitis              6              2             10             10             10              1
Gabrisele         Informaityte              3              9             10              7              7              6
Mastas             Indeksaitis              6              8              2              4              5              1
Slimonas              Grafikis              6              8              9              3             10              8
Mastas             Dvejetaitis              7              9              5              4              9              9
Luskas             Indeksaitis              4              8              5              9              3              8
Mastas             Astuntaitis              8              1              9              8              6              5
Luskas             Indeksaitis              2              6              5              7              3             10
Gabrisele            Bugovaite              5              8              1              8              5             10
Gabrisele         Dvejetaityte              6              6              8              2             10              4
Aslanas               Bitaitis              2             10              9              8              1              7
Laurisa           Astuntainyte              6              7              1              9              1              3
Luskas                 Bugovas              2              7              1              1              3              3
Laurisa              Bugovaite             10              4              3              4              4              4
Slimonas          Informatikas              1              3              8              6             10              1
Gabrisele         Dvejetaityte              8              1              4              7              1              5
Laurisa           Astuntainyte              2              5              2              2              1              3
Gabrisele              Baituke             10              7              5              2              9              6
Dovysdas           Astuntaitis              2              9              5              7              9              4
Aslanas               Baitenis              4              2              5              9              1              5
Vistorija      Sesioliktaityte              6              4             10              8              3              2
Laurisa          Aritmetikaite             10              4             10              3              2              7
Agatsa                 Bitaite              2              1              6              1             10              2
Sinsija        Sesioliktaityte              7              4              8              4              9              1
Vistorija         Dvejetaityte              9              2              5              1              8              6
Slimonas              Grafikis              2              6             10              3              7              4
Gabrisele         Dvejetaityte              5             10              9              2              8              6
Slimonas           Aritmetikas              4              8              7              9             10              6
Luskas                 Bugovas              8              9             10              9              8              3
Aslanas            Astuntaitis              2              1              1              8              2              5
Vistorija            Grafikyte             10             10              8              8              1              4
Dovysdas           Astuntaitis              2              3              6              2              1              7
Slimonas              Grafikis             10              3              6              6              5              7
Luskas             Astuntaitis              3              3             10              4              7              7
Laurisa                Bitaite              6             10             10              3              7              6
Dovysdas           Astuntaitis              6              3              9              6              7              5
Vistorija              Bitaite              5              3              9              4              1              1
Laurisa           Informaityte              5              3              5              5              2              9
Vistorija         Astuntainyte              4             10              6              9              3              3
Gabrisele      Sesioliktaityte              2              1              5              4             10              6
Sinsija                Bitaite              8             10              9              7             10              4
Slimonas           Aritmetikas              5              7              4             10              9              8
Sinsija                Bitaite              8              6              6              2              4              3
Vistorija         Informaityte              6              3              2             10              9              1
Dovysdas              Bitaitis              2              4              7             10              3              4
Gabrisele            Bugovaite             10              1              3             10              9              8
Vistorija      Sesioliktaityte             10              5              8              3              3              5
Laurisa                Baituke             10              9              9              4              5              1
Agatsa         Sesioliktaityte              2              2              4              7              8              3
Agatsa               Grafikyte              5              7              8              5              5              6
Dovysdas          Informatikas              2              1             10              4              6              8
Gabrisele            Bugovaite              1             10              4              4              4              8
Aslanas               Grafikis              2              7              6              3              2              8
Aslanas               Grafikis              5              9              7              1              7              2
Mastas             Astuntaitis              4              7              4              4              5              2
Slimonas           Indeksaitis              8             10              6              6              7              1
Vistorija         Informaityte              9              8              9              3              7              1
Luskas             Astuntaitis             10              8             10              4              6              9
Mastas                Bitaitis              9              1              5              9              2              6
Vistorija           Indeksaite              5              3              9              4              4              8
Dovysdas          Informatikas              1              4              6              5              6              4
Agatsa            Informaityte              2              6              4              8              6              2
Mastas                 Bugovas              2              9              3              6              3              3
Sinsija                Bitaite              2              3              5              4              1              9
Gabrisele         Informaityte              3             10              5              7              1              3
Mastas             Aritmetikas             10              8              4              5              7              2
Aslanas         Sesioliktaitis              8             10              5             10              7             10
Aslanas            Dvejetaitis              1              6              7              4              3              5
Mastas            Informatikas              2              6              1              4              5              4
Laurisa           Astuntainyte              9             10              9              6              1              9
Sinsija              Grafikyte              9              1              3              2              9              8
Laurisa        Sesioliktaityte              7              8              1              6             10              2
Vistorija        Aritmetikaite              3             10             10             10              1              7
Vistorija           Indeksaite              1              6              2             10              4              4
Gabrisele         Astuntainyte              6             10              1              7              4              4
Slimonas           Astuntaitis              2              4              5              9              9             10
Aslanas            Aritmetikas              1              3              7              3              1              8
Mastas             Dvejetaitis              9              9              7              5              9             10
Dovysdas           Aritmetikas              1              9              6              2             10              8
Laurisa                Bitaite              3              5              1              1              4              2
Slimonas        Sesioliktaitis              9              7              7              4              8              9
Mastas            Informatikas             10              2              8              2              8              2
Dovysdas          Informatikas              3              6              2              9              2              7
Dovysdas              Baitenis              5              1              8              8              5              1
Agatsa            Astuntainyte              8              7              2              7              9              4
Slimonas               Bugovas              7              4              9              9              5              4
Agatsa            Informaityte              2              2              7              5              2              5
Laurisa           Informaityte              6              8              3              7              3              3
Slimonas               Bugovas              9              1              1              3             10              1
Dovysdas           Astuntaitis              5             10              8              8              1              2
Slimonas           Indeksaitis              7              1              7              4             10              3
Laurisa           Astuntainyte              7              8              2              7              4              5
Luskas            Informatikas              5              4             10              3              9             10
Laurisa           Informaityte              3              5              2              5              3              1
Aslanas               Bitaitis              7              7             10              5              3              9
Mastas                 Bugovas             10              8              1              7              2              7
Dovysdas          Informatikas              8              1              1              1              5              8
Vistorija         Informaityte              2              5              1              4              7              8
Mastas            Informatikas              5              2              6              7              9              2
Agatsa               Bugovaite              4              6              9             10              3              6
Luskas             Astuntaitis              2              6              8              6              1              9
Vistorija         Astuntainyte              8              7              3              3              1              5
Slimonas               Bugovas              5              3              5              2             10              1
Mastas                Baitenis              5              3              5              4              9              8
Slimonas               Bugovas              9              8              6              4              6              9
Laurisa                Bitaite              9              9              9              9              9              1
Laurisa           Astuntainyte              1              4              8              8              3              2
Mastas             Astuntaitis              9              2              9              8              2              7
Aslanas               Bitaitis              8              1              7              8              8              7
Aslanas               Grafikis              7              2              7              3              3              4
Sinsija           Informaityte              4              4              2              9              2              3
Mastas             Dvejetaitis              5             10              9              1              9              3
Gabrisele         Astuntainyte              9              5              9              2              9              5
Laurisa             Indeksaite              8              8              6              7              5             10
Aslanas            Astuntaitis              3              9             10              9              7              8
Sinsija                Baituke              4              8              9              1              9              4
Gabrisele         Astuntainyte              3              6              1              2             10              4
Sinsija             Indeksaite              7              2              1              1              3              7
Slimonas               Bugovas              5              5              9              2              3              9
Agatsa         Sesioliktaityte              8              9              7              4              3              4
Sinsija              Bugovaite              4             10              2              9              3              6
Mastas            Informatikas              2              1              4             10              1              5
Gabrisele         Informaityte              8              6             10              6             10              5
Laurisa           Dvejetaityte              7              8              9              8             10              9
Aslanas            Aritmetikas              8             10              1              3              7              8
Sinsija             Indeksaite              9             10              8              3              1              1
Laurisa              Grafikyte             10              8              2              7              2              6
Vistorija            Grafikyte              7              2              9              1              4              4
Mastas          Sesioliktaitis              1              3              9              4              6              9
Dovysdas              Bitaitis              1             10              7              5              3             10
Gabrisele         Astuntainyte              7              5              4              6             10              4
Agatsa               Grafikyte              2              1              2              9              4              6
Vistorija         Informaityte              5              9              5              4              3              1
Luskas             Aritmetikas              2              1              4              3              9              9
Sinsija             Indeksaite              5              5              5              6              1             10
Gabrisele              Baituke              1             10              6              1              3              1
Dovysdas           Dvejetaitis              4              3              1              8              6              3
Sinsija                Bitaite              1              6              8              4              2              7
Aslanas               Grafikis              8              2              9              9              7              7
Vistorija         Astuntainyte             10              5              6             10              2              9
Gabrisele         Astuntainyte              6              7              5              5              6             10
Mastas            Informatikas              1              3              7              1              2              1
Sinsija                Bitaite              1              9              8              8              5              7
Gabrisele              Bitaite             10              5              7              1              5              8
Luskas          Sesioliktaitis              3              3              9              8              5              7
Vistorija         Dvejetaityte              3             10              7             10              3             10
Luskas             Astuntaitis              4              9              8              4              7             10
Agatsa                 Baituke              9              1              9              6              5              9
Luskas                Bitaitis              2              3              3              3              7             10
Sinsija        Sesioliktaityte              3              2              3              1              5              7
Sinsija              Bugovaite              7              6              9              6              9              5
Luskas             Astuntaitis              2              6              1              9              1              4
Mastas            Informatikas              3              7              8              7              7              2
Dovysdas           Astuntaitis              8              4             10             10              1              1
Gabrisele        Aritmetikaite              1              6              2              9              9              6
Mastas                Bitaitis              7              7              2              8             10              2
Dovysdas        Sesioliktaitis              3              5              7             10              8              3
Laurisa           Informaityte              2              1              9              2              9              9
Luskas            Informatikas             10              5             10              5              6              4
Agatsa                 Baituke             10              2              9              5              1              4
Vistorija            Bugovaite              4              4              6              3              5             10
Agatsa               Grafikyte              6              3              9              1              6              5
Dovysdas           Dvejetaitis             10              9              3              7              8              6
Mastas                Grafikis              3              6             10              3              2             10
Dovysdas           Aritmetikas              5              2              9              5              4              9
Vistorija            Grafikyte              2              8              5              6              6              1
Laurisa           Astuntainyte              8             10              8              2              3              4
Slimonas              Bitaitis              7              7              2              5              5              3
Laurisa             Indeksaite             10              1              8              7              8              3
Dovysdas              Baitenis              7              7              8             10             10              1
Sinsija                Baituke              1              4              7              7              5              9
Luskas            Informatikas              6              4              4              5             10              8
Luskas            Informatikas              2              9             10              1              7             10
